Identifier,heading,image_url,folio_start,folio_start_r_or_v,folio_end,folio_end_r_or_v,material,tool,purpose,subject_activity_keywords
p038v_1,Black color for dyeing,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f82.image,38,v,38,v,Quicklime; white lead,2,n/a,Dye making
p038v_2,Against nose bleeding and for dyeing,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f82.image,38,v,38,v,vinete or lapathum acutum (only use one),1,n/a,Remedy; dye making
p038v_3,Beautiful artichokes,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f82.image,38,v,38,v,Artichokes,1,n/a,Cultivation
p038v_4,Planting trees,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f82.image,38,v,38,v,Trees; oxen manure,2,n/a,Cultivation
p038v_5,Merchants,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f82.image,38,v,38,v,n/a,n/a,Sale books; account books; double-entry account books,Buying; selling
p038v_6,Crimson,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f82.image,38,v,38,v,White cloth; crimson woad; cochineal,3,n/a,Dyeing
p039r_1,Goldsmith,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f83.image,39,r,39,r,Gold; saltpeter; borax; lead; silver; copper; enamel,7,n/a,Metalworking
p039r_2,Dyers' woad,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f83.image,39,r,39,r,Dyers' woad;,1,iron shovels; rakes; dyer's vat,Dyeing
p039v_a1,Enamel,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f84.image,39,v,39,v,Enamel; copper; silver,3,n/a,Coloring
p039v_a2,Colors for illumination on glass,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f84.image,39,v,39,v,Larme de mastic; turpentine,2,n/a,Coloring
p039v_a3,Tracing a history on glass,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f84.image,39,v,40,r,Glass; lye; ashes; oily black; gilding; gum water; garlic juiuce; fig tree milk; silver; azur d’esmail; verdigris; fine laque platte; turpentine; larme de mastic; tin; paint,16,pinceau; pin mounted on a small stick; quite pointy steel awl; hot tile,Glasswork
p040r_1,Dye,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f85.image,40,r,40,r,Root of Lapathium acutum maius; thread,2,n/a,Dye making
p040r_2,Aqua fortis,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f85.image,40,r,40,r,Aqua fortis matter; alum; water,3,container; retort,Chemistry
p040r_3,Vinegar,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f85.image,40,r,40,r,Mineral salt; red hot; water; pomace,4,n/a,Chemistry
p040r_4,Silver gilt buttons,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f85.image,40,r,40,r,Lozenges; silver; crushed enamel; gold leaf,4,n/a,Metalworking
p040r_5,Grottos,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f85.image,40,r,40,r,Parchment; distemper; oil,3,fire,Decorating
p001r_1,,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f7.image,1,r,1,r,,,N/A,
p001v_1,For easing the belly,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f8.image,1,v,1,v,prunes; malva leaves; viola leaves;  sugar; cinnamon; water; cirop de guindoles doulces; or chicken broth; marshamallow root,,making,medicinal remedy--for easing the belly
p002r_1,Books to recover,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f9.image,2,r,2,r,not applicable,,list of books,
p002r_2,Against pain,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f9.image,2,r,2,r,turpentine oil; oile of jacob; salt of cabbage ashes,,making,medicinal remedy--against pain
p002v_1,Practica...,"http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f10.image
",2,v,2,v,,,book title,
p002v_2,Emeralds of Brissac,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f10.image,2,v,2,v,minium; crystal; verdigris,marble slab; crucible; well-luted crucible with hole on top,making,making--emerald-like stones from leaded glass
p002v_3,sapphire,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f10.image,2,v,2,v,pebbles or crystal; minium; smith's salt; sparkling coryal;,,making,making--sapphires-like stones from leaded glass
p003r_a1,Imitation Coral,,3,r,3,r,fantastical thorn branch; clear pine resin; ground vermilion; walnut oil; Venice lake,charcoal fire,making,making--imitation coral
p003r_a1 marginalia,Imitation Coral,,3,r,3,r,resin cooked again; vinegar; or one drop of mastic,leaded pot; brazier; stick; coarse canvas or tammy cloth,making,making--colophony
p003r_a1 marginalia,Imitation Coral,,3,r,3,r,sulfur; vermillion,,observation,imitation coral
p003r_a1 marginalia,Imitation Coral,,3,r,3,r,red enamel,,observation,imitation coral
p003r_a1 marginalia,Imitation Coral,,3,r,3,r,crushed glass,,observation,imitation coral
p003r_a2,Varnish for paintings,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f11.image,3,r,3,r,Venice turpentine; whitest pssible turpentine oil;,pot; charcoal fire; finger,making,making--varnish for panel paintings
p003r_a2 marginalia,Varnish for paintings,,3,r,3,r,mastic varnish,rain,observation,varnishes
p003r_a3,Thick varnish for floorboards,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f11.image,3,r,3,v,linseed oil from Aux; garlic or wheat; common thick turpentine; good quality turpentine oil,,observation,varnishes
